PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Giannis Antetokounmpo;PF;2022;27;67;45;22;0,672;15,02735562;27,13677812;0,806808511;1,604863222;5,252279635;0,427477204;12,10942249;16,63221884;1,05337386;2,917933131;14,00607903;16,92401216;8,462006079;4,814589666;1,604863222;2,042553191;1,313069909;4,668693009;12,83890578;43,6231003;8,607902736;67,11246201;5,835866261;157,4224924;0,389544073;0,533981763;0,294711246;0,681337386;15,02735562;11,81762918;9,629179331;41,2887538;0,177993921
Joel Embiid;C;2022;28;68;45;23;0,662;13,91715976;27,83431953;0,708639053;1,98816568;5,25443787;0,526863905;13,63313609;16,75739645;1,155976331;2,982248521;13,63313609;16,61538462;5,964497041;4,402366864;1,562130178;2,130177515;1,704142012;3,834319527;12,07100592;43,4556213;7,668639053;65,32544379;2,840236686;153,0887574;0,387692308;0,559526627;0,318106509;0,573727811;13,49112426;12,49704142;14,20118343;46,29585799;0,176094675
Jared Harper;PG;2022;24;5;2;3;0,4;15,62790698;29,02325581;3,002790698;5,581395349;13,39534884;2,32744186;4,465116279;4,465116279;5,581395349;2,23255814;0;2,23255814;15,62790698;2,23255814;4,465116279;1,11627907;1,11627907;5,581395349;3,348837209;41,30232558;7,813953488;0;0;689,3023256;0;0;2,23255814;5,581395349;7,813953488;24,55813953;6,697674419;46,88372093;-0,044651163
Ja Morant;PG;2022;22;57;36;21;0,632;14,79154079;29,87311178;0,714924471;2,175226586;6,525679758;0,498851964;7,975830816;10,58610272;1,103564955;2,03021148;6,380664653;8,265861027;9,716012085;4,930513595;1,740181269;0,580060423;2,465256798;2,175226586;8,410876133;39,73413897;4,785498489;14,50151057;1,450151057;161,2567976;0,179818731;0,258126888;0,275528701;0,129063444;14,93655589;12,32628399;13,05135952;48;0,129063444
LeBron James;PG;2022;37;56;25;31;0,446;14,70967742;28,12903226;0,676129032;3,741935484;10,32258065;0,463225806;5,806451613;7,741935484;0,975483871;1,419354839;9,161290323;10,58064516;8;4,516129032;1,677419355;1,419354839;1,032258065;2,838709677;7,096774194;39,09677419;-2,709677419;27,09677419;7,741935484;146,4516129;0,238709677;0,357419355;0,273548387;0,349677419;16,90322581;13,16129032;15,35483871;49,80645161;0,095483871
Trae Young;PG;2022;23;76;40;36;0,526;12,92836676;27,91977077;0,632664756;4,263610315;11,00286533;0,525386819;9,077363897;10,04011461;1,243323782;0,962750716;4,263610315;5,088825215;13,34097421;5,501432665;1,23782235;0,137535817;1,650429799;2,338108883;8,114613181;39,06017192;2,888252149;57,76504298;0;158,0286533;0,11965616;0,173295129;0,251690544;0,041260745;15,12893983;12,92836676;12,51575931;48,96275072;0,077020057
Nikola Jokic;PF;2022;27;74;46;28;0,622;14,75820896;25,36119403;0,835343284;1,862686567;5,588059701;0,482865672;7,307462687;9,026865672;1,160597015;4,011940299;15,76119403;19,77313433;11,31940299;5,444776119;2,149253731;1,289552239;1,289552239;3,725373134;9,313432836;38,82985075;8,597014925;94,56716418;27,2238806;156,0358209;0,448477612;0,614686567;0,442746269;0,498626866;17,48059701;11,31940299;12,0358209;50,4358209;0,161910448
Kevin Durant;PF;2022;33;55;36;19;0,655;13,5483871;26,19354839;0,668387097;2,709677419;7,096774194;0,494193548;8,774193548;9,548387097;1,174193548;0,64516129;8,903225806;9,548387097;8,258064516;4,516129032;1,161290323;1,161290323;0,903225806;2,709677419;7,612903226;38,58064516;6,322580645;23,22580645;5,161290323;141,5483871;0,214193548;0,321290323;0,2;0,283870968;18,06451613;13,80645161;14,32258065;45,29032258;0,150967742
Luka Doncic;SG;2022;23;65;44;21;0,677;13,42372881;29,28813559;0,619661017;4,203389831;11,93220339;0,478644068;7,593220339;10,16949153;1,008813559;1,220338983;11,25423729;12,33898305;11,79661017;6,101694915;1,627118644;0,813559322;0,949152542;2,983050847;8,406779661;38,50847458;2,983050847;59,66101695;13,55932203;149,559322;0,311864407;0,456949153;0,317288136;0,249491525;14,23728814;14,23728814;12,47457627;48,6779661;0,141016949
Devin Booker;SG;2022;25;68;56;12;0,824;13,49565217;29,07826087;0,648347826;3,756521739;9,739130435;0,532869565;6,4;7,373913043;1,207652174;0,973913043;6,12173913;6,956521739;6,67826087;3,339130435;1,530434783;0,556521739;1,252173913;3,617391304;6,4;37,28695652;9,6;6,956521739;0;150,4;0,162782609;0,237913043;0,258782609;0,176695652;14,46956522;15,02608696;11,40869565;45,63478261;0,172521739
