PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
A.C. Green;PF;1997;33;83;23;60;0,277;4,465116279;9,249169435;0,770232558;0;0,318936877;0,079734219;2,392026578;3,827242525;1,03654485;4,305647841;8,292358804;12,59800664;1,275747508;1,435215947;1,275747508;0,318936877;0,797342193;2,710963455;0;11,48172757;-6,697674419;25,51495017;0;167,1229236;0,293421927;0,476810631;0,288637874;0,133953488;17,70099668;13,55481728;14,35215947;40,18604651;0,127574751
A.J. Guyton;PG;2002;24;45;10;35;0,222;7,164179104;19,34328358;1,293134328;3,582089552;9,671641791;1,339701493;1,791044776;2,149253731;2,919402985;1,074626866;2,507462687;3,582089552;6,447761194;2,865671642;0,71641791;0,71641791;0,358208955;1,791044776;0;19,34328358;-3,582089552;0;0;364,2985075;0,204179104;0,329552239;0,358208955;0,372537313;13,6119403;11,46268657;11,10447761;38,68656716;0,146865672
Aaron Brooks;PG;2017;32;65;36;29;0,554;6,656934307;16,11678832;1,411970803;2,452554745;7,00729927;1,313868613;1,751824818;2,102189781;2,802919708;1,051094891;2,802919708;3,854014599;6,656934307;3,503649635;1,401459854;0,350364964;0,700729927;4,905109489;2,802919708;17,51824818;-1,751824818;0;0;362,2773723;0,19620438;0,29080292;0,679708029;0,38540146;15,06569343;11,21167883;11,21167883;36,4379562;0,19270073
Aaron Gordon;PF;2022;26;75;46;29;0,613;8,782334385;16,80757098;0,787381703;1,8170347;5,299684543;0,507255521;3,482649842;4,694006309;1,125047319;2,574132492;6,359621451;8,933753943;3,785488959;2,72555205;0,90851735;0,90851735;1,059936909;3,028391167;4,088328076;22,71293375;6,511041009;9,085173502;0;168,2271293;0,19533123;0,269526814;0,205930599;0,384605678;17,26182965;10,9022082;12,26498423;51,33123028;0,128706625
Aaron Gordon;SF;2017;21;80;29;51;0,363;8,195121951;18,06271777;0,759303136;1,672473868;5,519163763;0,481672474;3,344947735;4,515679443;1,202508711;2,508710801;6,020905923;8,529616725;3,177700348;1,839721254;1,337979094;0,836236934;1,003484321;3,679442509;3,512195122;21,24041812;-3,344947735;11,70731707;0;184,641115;0,20738676;0,304390244;0,309407666;0,291010453;15,88850174;13,21254355;13,37979094;48,50174216;0,093658537
Aaron Gray;C;2012;27;49;17;32;0,347;4,915662651;9,542168675;1,492048193;0;0;0;1,445783133;2,891566265;1,538313253;4,915662651;11,56626506;16,48192771;1,734939759;2,891566265;1,156626506;0,86746988;0,86746988;7,518072289;2,313253012;11,27710843;-8,963855422;5,78313253;0;307,9518072;0,76626506;1,104578313;0,552289157;0,702650602;13,59036145;11,56626506;13,59036145;39,90361446;0,080963855
Aaron Holiday;PG;2022;25;63;34;29;0,54;7,111111111;16;1,324444444;1,777777778;4,740740741;1,122962963;2,666666667;3,259259259;2,571851852;1,185185185;4,740740741;5,62962963;7,111111111;3,259259259;2,074074074;0,296296296;0,888888889;4,444444444;3,555555556;18,66666667;-1,777777778;0;0;320,5925926;0,272592593;0,394074074;0,835555556;0,245925926;14,81481481;12,44444444;11,25925926;44,74074074;0,168888889
Aaron McKie;SG;2002;29;48;26;22;0,542;7,215686275;16;0,704313725;1,725490196;4,235294118;0,624313725;3,137254902;3,921568627;1,234509804;0,784313725;5,490196078;6,274509804;5,803921569;2,980392157;1,882352941;0,470588235;1,411764706;2,352941176;0;19,1372549;3,764705882;1,568627451;0;149,4901961;0,175686275;0,272941176;0,341960784;0,150588235;15,52941176;12,54901961;12,54901961;34,03921569;0,24627451
Aaron McKie;SG;1997;24;83;48;35;0,578;4,408163265;10,7755102;1,006530612;1,224489796;2,93877551;0,974693878;2,693877551;3,183673469;2,047346939;1,224489796;5,387755102;6,612244898;4,653061224;2,693877551;2,204081633;0,734693878;0,979591837;3,918367347;0;12,73469388;3,918367347;2,448979592;0;239,5102041;0,276734694;0,433469388;0,737142857;0,303673469;16,89795918;12,48979592;9,795918367;31,34693878;0,244897959
Aaron Nesmith;SF;2022;22;52;32;20;0,615;6,109090909;15,27272727;1,728;2,618181818;9,6;1,178181818;1,745454545;2,181818182;3,525818182;1,309090909;6,109090909;7,418181818;1,745454545;2,618181818;1,745454545;0,436363636;0;5,672727273;2,181818182;16,58181818;1,745454545;0;0;455,1272727;0,510545455;0,737454545;1,117090909;0,436363636;18,32727273;13,52727273;12,21818182;42,76363636;0,235636364
