YEAR;POSITION;COUNT;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
MAX;C;97;28,81333333;59,51136364;29,77272727;29,73863636;0,511010638;8,065184495;15,59958096;1,297165118;1,169041327;3,363282208;0,599218678;3,665231056;5,282737749;1,693968106;4,006052846;9,378186474;13,38703294;3,086951461;3,005787452;1,363287161;1,944360377;1,127580026;5,760446979;4,791060412;20,56384589;0,224916229;21,87405424;0,295006402;266,9755632;0,459383075;0,678235363;0,441252474;1,020370155;17,48404609;14,07180538;13,3283669;43,93973901;0,149778516
MAX;PF;110;28,42222222;57,7;28,74444444;28,95555556;0,50926087;7,492384958;16,19882511;1,051708993;1,954380944;5,627625468;0,707564408;3,758131776;5,141784821;1,619424039;3,458588679;7,548681873;10,99747978;3,817860449;2,803356539;1,396576658;1,393661384;1,180984153;4,972511106;4,102331653;19,55207321;-0,212792006;18,40564416;0,785057885;246,3077794;0,366666132;0,565282432;0,429406003;0,6064804;17,20387738;13,8375517;13,20100083;43,57484448;0,146176161
MAX;PG;103;28,02469136;59,14814815;30,51724138;30,20987654;0,513931034;8,149698475;18,64278113;0,941742364;2,779709117;7,838949982;0,735899255;4,070640782;4,982424457;1,717566513;1,332998985;5,495565803;6,74707343;8,081615493;3,497773934;1,899964526;0,58957077;1,041326712;3,902776135;4,240043213;22,56544874;-0,015119081;10,79106066;1,893321294;242,3157148;0,234529975;0,345888613;0,539893054;0,275097552;17,04424411;14,00782865;12,63542842;47,25505498;0,146367638
MAX;SF;97;28,15116279;59,43589744;31,01388889;28,94871795;0,519708333;7,488308116;16,60797799;0,872682256;2,08896893;6,185226676;0,637849963;4,063273728;5,281980743;1,467235213;2,443683823;5,728917575;7,948306196;3,502063274;2,668500688;1,554332875;0,865657955;1,039278618;4,157256646;4,308115543;20,65474553;0,198074278;9,235789002;0,457094487;218,3922064;0,254882798;0,398797223;0,417771664;0,359394773;16,77579092;13,39569005;12,15833715;40,08043222;0,143534756
MAX;SG;130;27,81176471;57,14444444;28,72727273;29,05882353;0,503322917;7,416299246;17,03514687;0,884949509;2,716059648;7,777950396;0,701403499;4,10979946;5,302232968;1,587473291;1,625159082;4,8933186;6,17313243;4,472027241;2,839994311;1,720913136;0,590326872;0,968617969;3,777556535;4,360119471;20,62864457;0,309344332;6,987542564;0,378105751;224,4435741;0,225020185;0,332465236;0,447783194;0,257332473;16,79192149;13,59441582;12,63540455;43,5010667;0,140088181
MIN;C;75;26,47777778;41,4742268;20,81443299;20,65979381;0,458226667;6,226111946;13,51498922;1,267700346;0,259706331;0,772706491;0,224854383;3,373261054;4,953301548;1,769676703;4,118809535;7,771667429;11,91300372;1,871595585;2,476650774;1,175625367;1,996995624;1,056562032;5,528941089;0,025080008;16,17033505;-1,549944484;12,4773039;0,03135001;285,1252041;0,437671217;0,722805826;0,41523088;1,017357978;15,77532493;13,90372934;13,09176409;38,28463196;0,147783946
MIN;PF;90;26,37614679;48,66055046;25,01086957;23,55963303;0,464990385;7,043778456;15,15144844;1,172863695;0,571473499;1,660507902;0,465422525;3,129418738;4,216586935;1,754423641;2,71684852;7,533696903;10,76139491;2,696953019;2,410566868;1,244008606;1,063891529;0,950002117;4,529020787;0,024260667;18,59048381;-1,714420496;10,97887939;0,086142949;268,8636309;0,391324565;0,59552544;0,428793818;0,594556003;16,60471614;12,90118577;11,97898634;39,2895382;0,151514484
MIN;PG;81;26,42696629;41,3258427;20,69662921;20,62921348;0,473485437;6,844473427;16,33846396;0,93506358;1,47027497;4,321977885;0,693694647;3,207091017;4,092695238;1,734781163;1,020926579;4,031915571;5,227257907;7,37005348;3,286143444;1,825532798;0,292335374;0,842613726;3,612650799;0,002866033;18,45152097;-0,795565699;5,973263776;0,114641323;234,7367074;0,184251337;0,30153534;0,52158936;0,131235655;16,34010137;12,90535614;12,51310043;39,78340519;0,14683404
MIN;SF;72;25,84536082;43,08988764;21,03370787;22,05617978;0,461786517;7,177639071;16,67473604;0,990973857;1,161066131;3,480295728;0,594105051;2,952279958;3,846689895;1,632169051;1,648825547;6,26359302;8,168295917;3,450127577;2,346311165;1,514921982;0,797454931;0,865105909;3,87016608;0,005467811;19,25836909;-2,428722921;5,019328021;0,029026653;237,7892463;0,272792487;0,426765486;0,453507044;0,363286707;16,52355704;13,67065596;12,74473565;43,2692493;0,141021057
MIN;SG;77;25,32307692;48,41666667;24,32291667;24,09375;0,466141176;7,326609859;17,14717167;0,928119183;1,604801817;4,521423541;0,673937579;2,994283249;3,748980692;1,633284795;1,101585589;4,469628096;6,008240751;4,058591306;2,425283141;1,473843167;0,509287024;0,870499407;3,547060727;0;20,03074102;-1,337504045;1,822888577;0,023370366;227,9966203;0,202648392;0,32980261;0,434231474;0,219762828;16,26801855;12,90268579;12,55355409;41,42658638;0,136991479
